API Assignees;customfield_12327
Approved Billable Hours;customfield_11390
Billable;customfield_13500
Epic Name;customfield_10011
Impact;customfield_10126
Implementation Details;customfield_13366
Internal Process;customfield_12261
Meeting Date;customfield_11693
Partner Tier;customfield_11322
Product Category;customfield_11626
Requested Billable Hours;customfield_11389
Start date;customfield_10015
Total Remaining Estimate (In Hours);customfield_12595
Total Time Spent (In Hours);customfield_12596
App Type;customfield_12162
Approval Escalation;customfield_10794
AssignedToUserId;customfield_11929
Charge Type;customfield_10193
Child Description;customfield_10488
Child Type;customfield_10520
CreatedByUserId;customfield_11928
Current Version;customfield_11182
Customer ID;customfield_11318
Customer Name;customfield_11250
Customer VAT;customfield_11317
Dept Date;customfield_11694
Dif - Resolved vs Created;customfield_12527
Do not Publish (Flag);customfield_13065
Epic Color;customfield_10013
Gemini Details;customfield_11692
Gemini ID;customfield_11962
Gemini URL;customfield_11355
General Resolution;customfield_10662
Hypercare Period;customfield_12360
In Progress Resolution | Services&Issue;customfield_10967
LSP Customer Name;customfield_11183
Partner ID;customfield_11319
Partner Name;customfield_11180
Partner VAT;customfield_11321
Platform Priority;customfield_12129
Product Name;customfield_11283
Reported by (email);customfield_10357
Reported by (Name);customfield_10356
Serial Number;customfield_10124
Serial Number End Date;customfield_11316
Severity;customfield_10194
Specific Assignees;customfield_10860
Sub Category;customfield_10092
Time Types;customfield_10553
Total Original Estimate (Minutes);customfield_11997
Total Remaining Estimate (Minutes);customfield_11996
Total Time Spent (Minutes);customfield_11995
Unit;customfield_11862
Story Points;customfield_10038
Fintech Services;customfield_12294
Gemini ID old;customfield_11388
Assigned Team;customfield_11184
Customer Tier;customfield_11320
Non Billable Reason;customfield_13300
Account Manager;customfield_13333
Tags;customfield_13132
Total Original Estimate (In Hours);customfield_12594
Bug Confirmed by Production;customfield_12697
Epic Resolution;customfield_10619
Management Resolution;customfield_11659
Participants;customfield_11491
Burn;customfield_12798
Project Original Estimate (In Hours);customfield_12763
Project Remaining Estimate (In Hours);customfield_12765
Project Time Spent (In Hours);customfield_12764
Gemini Relations;customfield_12195
Recording ID;customfield_13032
Bucket;customfield_11490
Code;customfield_12629
Documented (Flag);customfield_13066
Has Blocking Issues;customfield_13434
Parent Epic;customfield_13099
Documented;customfield_11728
Go Live Date;customfield_12865
Project Manager;customfield_12866
Product Child;customfield_10226
Product Parent;customfield_10225
